ID_Incidente,Fecha,Area,Tipo_Incidente,Severidad,Dias_Incapacidad,Causa_Raiz
INC-0407,2023-02-18,Mantenimiento,Incapacidad Común,Leve,2,Fatiga / Factor humano
INC-0323,2023-02-19,Logística/Bodega,Incapacidad Común,Moderado,6,Acto inseguro (No uso de EPP)
INC-0225,2023-02-23,Comercial/Campo,Incapacidad Común,Leve,1,Falta de procedimiento/Capacitación
INC-0426,2023-02-27,Logística/Bodega,Casi Accidente (Near Miss),N/A,0,Acto inseguro (No uso de EPP)
INC-0221,2023-03-02,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Falta de procedimiento/Capacitación
INC-0202,2023-03-02,Logística/Bodega,Accidente de Trabajo,Moderado,8,Falta de procedimiento/Capacitación
INC-0104,2023-03-04,Operaciones/Planta,Incapacidad Común,Moderado,5,Condición insegura (Herramienta/Equipo)
INC-0333,2023-03-08,Mantenimiento,Accidente de Trabajo,Leve,2,Falta de procedimiento/Capacitación
INC-0131,2023-03-08,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Fatiga / Factor humano
INC-0161,2023-03-10,Logística/Bodega,Enfermedad Laboral,Grave,26,Acto inseguro (No uso de EPP)
INC-0201,2023-03-14,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Condición insegura (Herramienta/Equipo)
INC-0331,2023-03-14,Operaciones/Planta,Accidente de Trabajo,Moderado,4,Condición insegura (Herramienta/Equipo)
INC-0113,2023-03-16,Operaciones/Planta,Accidente de Trabajo,Grave,48,Fatiga / Factor humano
INC-0082,2023-03-17,Operaciones/Planta,Enfermedad Laboral,Leve,3,Fatiga / Factor humano
INC-0425,2023-03-20,Administración,Incapacidad Común,Grave,54,Falta de procedimiento/Capacitación
INC-0240,2023-03-23,Logística/Bodega,Incapacidad Común,Leve,2,Peligro locativo / Desorden
INC-0298,2023-03-27,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Acto inseguro (No uso de EPP)
INC-0272,2023-03-28,Logística/Bodega,Casi Accidente (Near Miss),N/A,0,Falta de procedimiento/Capacitación
INC-0370,2023-03-28,Logística/Bodega,Accidente de Trabajo,Moderado,4,Condición insegura (Herramienta/Equipo)
INC-0386,2023-03-29,Operaciones/Planta,Accidente de Trabajo,Leve,3,Peligro locativo / Desorden
INC-0359,2023-04-02,Mantenimiento,Accidente de Trabajo,Moderado,10,Peligro locativo / Desorden
INC-0109,2023-04-05,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Acto inseguro (No uso de EPP)
INC-0160,2023-04-05,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Acto inseguro (No uso de EPP)
INC-0182,2023-04-06,Comercial/Campo,Casi Accidente (Near Miss),N/A,0,Falta de procedimiento/Capacitación
INC-0049,2023-04-09,Logística/Bodega,Enfermedad Laboral,Leve,1,Peligro locativo / Desorden
INC-0262,2023-04-12,Comercial/Campo,Casi Accidente (Near Miss),N/A,0,Falta de procedimiento/Capacitación
INC-0041,2023-04-14,Mantenimiento,Accidente de Trabajo,Moderado,5,Condición insegura (Herramienta/Equipo)
INC-0105,2023-04-15,Mantenimiento,Accidente de Trabajo,Moderado,8,Fatiga / Factor humano
INC-0267,2023-04-16,Operaciones/Planta,Accidente de Trabajo,Leve,3,Falta de procedimiento/Capacitación
INC-0203,2023-04-18,Logística/Bodega,Accidente de Trabajo,Leve,1,Acto inseguro (No uso de EPP)
INC-0269,2023-04-21,Logística/Bodega,Accidente de Trabajo,Leve,2,Fatiga / Factor humano
INC-0132,2023-04-21,Logística/Bodega,Casi Accidente (Near Miss),N/A,0,Condición insegura (Herramienta/Equipo)
INC-0119,2023-04-21,Operaciones/Planta,Accidente de Trabajo,Leve,1,Falta de procedimiento/Capacitación
INC-0391,2023-04-22,Logística/Bodega,Casi Accidente (Near Miss),N/A,0,Acto inseguro (No uso de EPP)
INC-0260,2023-04-27,Mantenimiento,Accidente de Trabajo,Leve,1,Peligro locativo / Desorden
INC-0063,2023-04-27,Operaciones/Planta,Accidente de Trabajo,Leve,2,Fatiga / Factor humano
INC-0273,2023-05-02,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Peligro locativo / Desorden
INC-0002,2023-05-02,Operaciones/Planta,Accidente de Trabajo,Moderado,11,Peligro locativo / Desorden
INC-0051,2023-05-08,Operaciones/Planta,Accidente de Trabajo,Grave,38,Acto inseguro (No uso de EPP)
INC-0003,2023-05-11,Operaciones/Planta,Enfermedad Laboral,Grave,16,Fatiga / Factor humano
INC-0288,2023-05-13,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Condición insegura (Herramienta/Equipo)
INC-0345,2023-05-14,Operaciones/Planta,Accidente de Trabajo,Leve,3,Condición insegura (Herramienta/Equipo)
INC-0388,2023-05-16,Mantenimiento,Accidente de Trabajo,Moderado,6,Condición insegura (Herramienta/Equipo)
INC-0142,2023-05-19,Comercial/Campo,Accidente de Trabajo,Leve,2,Falta de procedimiento/Capacitación
INC-0448,2023-05-23,Operaciones/Planta,Accidente de Trabajo,Leve,2,Peligro locativo / Desorden
INC-0307,2023-05-23,Logística/Bodega,Accidente de Trabajo,Leve,1,Condición insegura (Herramienta/Equipo)
INC-0083,2023-05-24,Mantenimiento,Accidente de Trabajo,Leve,1,Condición insegura (Herramienta/Equipo)
INC-0130,2023-05-25,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Acto inseguro (No uso de EPP)
INC-0184,2023-05-31,Logística/Bodega,Accidente de Trabajo,Leve,2,Falta de procedimiento/Capacitación
INC-0296,2023-05-31,Operaciones/Planta,Accidente de Trabajo,Leve,3,Acto inseguro (No uso de EPP)
INC-0442,2023-06-05,Logística/Bodega,Accidente de Trabajo,Leve,2,Peligro locativo / Desorden
INC-0250,2023-06-06,Operaciones/Planta,Incapacidad Común,Moderado,14,Fatiga / Factor humano
INC-0227,2023-06-09,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Peligro locativo / Desorden
INC-0043,2023-06-10,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Fatiga / Factor humano
INC-0179,2023-06-11,Mantenimiento,Accidente de Trabajo,Moderado,10,Fatiga / Factor humano
INC-0415,2023-06-14,Comercial/Campo,Accidente de Trabajo,Moderado,8,Falta de procedimiento/Capacitación
INC-0290,2023-06-14,Logística/Bodega,Casi Accidente (Near Miss),N/A,0,Fatiga / Factor humano
INC-0140,2023-06-22,Logística/Bodega,Accidente de Trabajo,Leve,1,Fatiga / Factor humano
INC-0172,2023-06-26,Logística/Bodega,Accidente de Trabajo,Leve,1,Acto inseguro (No uso de EPP)
INC-0026,2023-07-09,Operaciones/Planta,Accidente de Trabajo,Moderado,12,Condición insegura (Herramienta/Equipo)
INC-0006,2023-07-09,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Fatiga / Factor humano
INC-0245,2023-07-11,Logística/Bodega,Accidente de Trabajo,Leve,2,Acto inseguro (No uso de EPP)
INC-0266,2023-07-13,Comercial/Campo,Accidente de Trabajo,Moderado,5,Acto inseguro (No uso de EPP)
INC-0139,2023-07-13,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Falta de procedimiento/Capacitación
INC-0413,2023-07-15,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Acto inseguro (No uso de EPP)
INC-0293,2023-07-17,Operaciones/Planta,Accidente de Trabajo,Leve,2,Condición insegura (Herramienta/Equipo)
INC-0018,2023-07-20,Mantenimiento,Accidente de Trabajo,Moderado,11,Peligro locativo / Desorden
INC-0383,2023-07-22,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Condición insegura (Herramienta/Equipo)
INC-0118,2023-07-24,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Falta de procedimiento/Capacitación
INC-0255,2023-07-27,Mantenimiento,Accidente de Trabajo,Moderado,8,Condición insegura (Herramienta/Equipo)
INC-0440,2023-07-30,Logística/Bodega,Enfermedad Laboral,Moderado,12,Acto inseguro (No uso de EPP)
INC-0399,2023-07-30,Operaciones/Planta,Accidente de Trabajo,Moderado,7,Acto inseguro (No uso de EPP)
INC-0175,2023-08-03,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Peligro locativo / Desorden
INC-0205,2023-08-04,Logística/Bodega,Casi Accidente (Near Miss),N/A,0,Condición insegura (Herramienta/Equipo)
INC-0158,2023-08-04,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Peligro locativo / Desorden
INC-0235,2023-08-04,Logística/Bodega,Casi Accidente (Near Miss),N/A,0,Condición insegura (Herramienta/Equipo)
INC-0295,2023-08-05,Mantenimiento,Incapacidad Común,Leve,2,Falta de procedimiento/Capacitación
INC-0376,2023-08-05,Mantenimiento,Accidente de Trabajo,Leve,3,Acto inseguro (No uso de EPP)
INC-0162,2023-08-06,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Condición insegura (Herramienta/Equipo)
INC-0031,2023-08-08,Operaciones/Planta,Accidente de Trabajo,Moderado,5,Condición insegura (Herramienta/Equipo)
INC-0439,2023-08-15,Operaciones/Planta,Incapacidad Común,Grave,20,Fatiga / Factor humano
INC-0023,2023-08-19,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Fatiga / Factor humano
INC-0367,2023-08-20,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Acto inseguro (No uso de EPP)
INC-0122,2023-08-21,Operaciones/Planta,Incapacidad Común,Leve,1,Condición insegura (Herramienta/Equipo)
INC-0348,2023-08-26,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Condición insegura (Herramienta/Equipo)
INC-0344,2023-09-01,Operaciones/Planta,Incapacidad Común,Leve,1,Acto inseguro (No uso de EPP)
INC-0437,2023-09-04,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Falta de procedimiento/Capacitación
INC-0405,2023-09-11,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Falta de procedimiento/Capacitación
INC-0038,2023-09-20,Logística/Bodega,Incapacidad Común,Leve,1,Condición insegura (Herramienta/Equipo)
INC-0356,2023-09-20,Logística/Bodega,Accidente de Trabajo,Moderado,11,Fatiga / Factor humano
INC-0287,2023-09-27,Operaciones/Planta,Accidente de Trabajo,Moderado,4,Fatiga / Factor humano
INC-0411,2023-09-27,Operaciones/Planta,Accidente de Trabajo,Moderado,9,Acto inseguro (No uso de EPP)
INC-0444,2023-09-30,Logística/Bodega,Casi Accidente (Near Miss),N/A,0,Falta de procedimiento/Capacitación
INC-0261,2023-10-01,Logística/Bodega,Accidente de Trabajo,Moderado,4,Falta de procedimiento/Capacitación
INC-0424,2023-10-04,Operaciones/Planta,Accidente de Trabajo,Leve,1,Fatiga / Factor humano
INC-0080,2023-10-06,Logística/Bodega,Accidente de Trabajo,Leve,1,Condición insegura (Herramienta/Equipo)
INC-0353,2023-10-14,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Acto inseguro (No uso de EPP)
INC-0330,2023-10-15,Operaciones/Planta,Accidente de Trabajo,Moderado,6,Peligro locativo / Desorden
INC-0308,2023-10-18,Operaciones/Planta,Accidente de Trabajo,Leve,2,Falta de procedimiento/Capacitación
INC-0316,2023-10-18,Mantenimiento,Accidente de Trabajo,Leve,1,Acto inseguro (No uso de EPP)
INC-0382,2023-10-29,Logística/Bodega,Casi Accidente (Near Miss),N/A,0,Fatiga / Factor humano
INC-0329,2023-10-29,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Acto inseguro (No uso de EPP)
INC-0300,2023-10-30,Mantenimiento,Accidente de Trabajo,Moderado,4,Condición insegura (Herramienta/Equipo)
INC-0274,2023-11-05,Logística/Bodega,Casi Accidente (Near Miss),N/A,0,Acto inseguro (No uso de EPP)
INC-0343,2023-11-07,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Fatiga / Factor humano
INC-0336,2023-11-07,Mantenimiento,Accidente de Trabajo,Moderado,4,Condición insegura (Herramienta/Equipo)
INC-0289,2023-11-09,Operaciones/Planta,Accidente de Trabajo,Moderado,8,Condición insegura (Herramienta/Equipo)
INC-0134,2023-11-11,Comercial/Campo,Casi Accidente (Near Miss),N/A,0,Condición insegura (Herramienta/Equipo)
INC-0055,2023-11-17,Operaciones/Planta,Accidente de Trabajo,Moderado,5,Fatiga / Factor humano
INC-0219,2023-11-20,Logística/Bodega,Casi Accidente (Near Miss),N/A,0,Condición insegura (Herramienta/Equipo)
INC-0418,2023-11-23,Logística/Bodega,Casi Accidente (Near Miss),N/A,0,Peligro locativo / Desorden
INC-0310,2023-11-24,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Peligro locativo / Desorden
INC-0228,2023-11-25,Administración,Incapacidad Común,Moderado,6,Falta de procedimiento/Capacitación
INC-0146,2023-11-30,Comercial/Campo,Enfermedad Laboral,Leve,3,Acto inseguro (No uso de EPP)
INC-0397,2023-12-02,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Acto inseguro (No uso de EPP)
INC-0362,2023-12-04,Operaciones/Planta,Accidente de Trabajo,Leve,3,Condición insegura (Herramienta/Equipo)
INC-0218,2023-12-06,Logística/Bodega,Accidente de Trabajo,Leve,2,Falta de procedimiento/Capacitación
INC-0342,2023-12-07,Operaciones/Planta,Accidente de Trabajo,Leve,2,Condición insegura (Herramienta/Equipo)
INC-0354,2023-12-11,Operaciones/Planta,Enfermedad Laboral,Moderado,12,Peligro locativo / Desorden
INC-0438,2023-12-19,Operaciones/Planta,Incapacidad Común,Leve,1,Acto inseguro (No uso de EPP)
INC-0069,2023-12-23,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Peligro locativo / Desorden
INC-0097,2023-12-24,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Acto inseguro (No uso de EPP)
INC-0338,2023-12-30,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Fatiga / Factor humano
INC-0126,2023-12-31,Operaciones/Planta,Accidente de Trabajo,Moderado,10,Falta de procedimiento/Capacitación
INC-0372,2024-01-01,Comercial/Campo,Enfermedad Laboral,Moderado,6,Falta de procedimiento/Capacitación
INC-0210,2024-01-07,Logística/Bodega,Accidente de Trabajo,Moderado,11,Acto inseguro (No uso de EPP)
INC-0206,2024-01-09,Mantenimiento,Enfermedad Laboral,Leve,3,Acto inseguro (No uso de EPP)
INC-0360,2024-01-21,Operaciones/Planta,Accidente de Trabajo,Moderado,13,Peligro locativo / Desorden
INC-0008,2024-01-23,Comercial/Campo,Casi Accidente (Near Miss),N/A,0,Acto inseguro (No uso de EPP)
INC-0021,2024-01-28,Logística/Bodega,Accidente de Trabajo,Leve,3,Fatiga / Factor humano
INC-0081,2024-02-01,Administración,Accidente de Trabajo,Grave,33,Fatiga / Factor humano
INC-0305,2024-02-01,Logística/Bodega,Accidente de Trabajo,Leve,2,Falta de procedimiento/Capacitación
INC-0249,2024-02-01,Administración,Casi Accidente (Near Miss),N/A,0,Peligro locativo / Desorden
INC-0403,2024-02-03,Mantenimiento,Incapacidad Común,Moderado,13,Falta de procedimiento/Capacitación
INC-0033,2024-02-05,Logística/Bodega,Accidente de Trabajo,Grave,36,Fatiga / Factor humano
INC-0044,2024-02-05,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Falta de procedimiento/Capacitación
INC-0263,2024-02-05,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Fatiga / Factor humano
INC-0339,2024-02-10,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Condición insegura (Herramienta/Equipo)
INC-0371,2024-02-12,Operaciones/Planta,Accidente de Trabajo,Moderado,13,Fatiga / Factor humano
INC-0077,2024-02-17,Operaciones/Planta,Accidente de Trabajo,Leve,2,Peligro locativo / Desorden
INC-0215,2024-02-18,Operaciones/Planta,Accidente de Trabajo,Grave,49,Acto inseguro (No uso de EPP)
INC-0170,2024-02-22,Comercial/Campo,Casi Accidente (Near Miss),N/A,0,Falta de procedimiento/Capacitación
INC-0017,2024-02-23,Logística/Bodega,Accidente de Trabajo,Leve,3,Acto inseguro (No uso de EPP)
INC-0226,2024-02-23,Logística/Bodega,Casi Accidente (Near Miss),N/A,0,Falta de procedimiento/Capacitación
INC-0238,2024-02-26,Operaciones/Planta,Incapacidad Común,Moderado,6,Peligro locativo / Desorden
INC-0420,2024-02-27,Logística/Bodega,Casi Accidente (Near Miss),N/A,0,Acto inseguro (No uso de EPP)
INC-0366,2024-02-29,Logística/Bodega,Accidente de Trabajo,Leve,2,Peligro locativo / Desorden
INC-0299,2024-03-02,Logística/Bodega,Casi Accidente (Near Miss),N/A,0,Condición insegura (Herramienta/Equipo)
INC-0176,2024-03-04,Operaciones/Planta,Incapacidad Común,Leve,2,Falta de procedimiento/Capacitación
INC-0422,2024-03-10,Logística/Bodega,Casi Accidente (Near Miss),N/A,0,Fatiga / Factor humano
INC-0110,2024-03-13,Logística/Bodega,Casi Accidente (Near Miss),N/A,0,Fatiga / Factor humano
INC-0029,2024-03-17,Comercial/Campo,Accidente de Trabajo,Moderado,8,Acto inseguro (No uso de EPP)
INC-0373,2024-03-17,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Acto inseguro (No uso de EPP)
INC-0089,2024-03-20,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Acto inseguro (No uso de EPP)
INC-0417,2024-03-20,Operaciones/Planta,Accidente de Trabajo,Leve,1,Fatiga / Factor humano
INC-0319,2024-03-20,Operaciones/Planta,Enfermedad Laboral,Leve,2,Fatiga / Factor humano
INC-0389,2024-03-24,Operaciones/Planta,Accidente de Trabajo,Moderado,12,Acto inseguro (No uso de EPP)
INC-0102,2024-03-25,Operaciones/Planta,Incapacidad Común,Leve,3,Falta de procedimiento/Capacitación
INC-0183,2024-03-27,Comercial/Campo,Accidente de Trabajo,Leve,3,Acto inseguro (No uso de EPP)
INC-0078,2024-04-01,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Falta de procedimiento/Capacitación
INC-0248,2024-04-03,Logística/Bodega,Accidente de Trabajo,Grave,31,Acto inseguro (No uso de EPP)
INC-0286,2024-04-04,Operaciones/Planta,Enfermedad Laboral,Moderado,9,Falta de procedimiento/Capacitación
INC-0449,2024-04-04,Operaciones/Planta,Incapacidad Común,Moderado,5,Fatiga / Factor humano
INC-0045,2024-04-14,Operaciones/Planta,Accidente de Trabajo,Leve,3,Peligro locativo / Desorden
INC-0037,2024-04-17,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Acto inseguro (No uso de EPP)
INC-0246,2024-04-18,Operaciones/Planta,Incapacidad Común,Leve,3,Peligro locativo / Desorden
INC-0005,2024-04-19,Mantenimiento,Accidente de Trabajo,Grave,29,Fatiga / Factor humano
INC-0174,2024-04-20,Mantenimiento,Accidente de Trabajo,Leve,2,Condición insegura (Herramienta/Equipo)
INC-0091,2024-04-20,Logística/Bodega,Incapacidad Común,Moderado,12,Condición insegura (Herramienta/Equipo)
INC-0154,2024-04-22,Administración,Casi Accidente (Near Miss),N/A,0,Condición insegura (Herramienta/Equipo)
INC-0430,2024-04-29,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Acto inseguro (No uso de EPP)
INC-0379,2024-05-02,Mantenimiento,Accidente de Trabajo,Leve,2,Condición insegura (Herramienta/Equipo)
INC-0207,2024-05-03,Comercial/Campo,Accidente de Trabajo,Leve,1,Acto inseguro (No uso de EPP)
INC-0190,2024-05-08,Comercial/Campo,Casi Accidente (Near Miss),N/A,0,Peligro locativo / Desorden
INC-0088,2024-05-14,Operaciones/Planta,Incapacidad Común,Moderado,9,Peligro locativo / Desorden
INC-0284,2024-05-18,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Condición insegura (Herramienta/Equipo)
INC-0341,2024-05-23,Operaciones/Planta,Accidente de Trabajo,Leve,1,Acto inseguro (No uso de EPP)
INC-0010,2024-05-23,Logística/Bodega,Accidente de Trabajo,Leve,2,Condición insegura (Herramienta/Equipo)
INC-0147,2024-05-27,Logística/Bodega,Casi Accidente (Near Miss),N/A,0,Peligro locativo / Desorden
INC-0185,2024-05-28,Comercial/Campo,Casi Accidente (Near Miss),N/A,0,Falta de procedimiento/Capacitación
INC-0256,2024-06-03,Logística/Bodega,Incapacidad Común,Leve,1,Fatiga / Factor humano
INC-0230,2024-06-04,Operaciones/Planta,Incapacidad Común,Leve,3,Falta de procedimiento/Capacitación
INC-0378,2024-06-06,Operaciones/Planta,Accidente de Trabajo,Leve,1,Acto inseguro (No uso de EPP)
INC-0024,2024-06-08,Operaciones/Planta,Accidente de Trabajo,Grave,59,Fatiga / Factor humano
INC-0189,2024-06-09,Logística/Bodega,Casi Accidente (Near Miss),N/A,0,Condición insegura (Herramienta/Equipo)
INC-0141,2024-06-15,Operaciones/Planta,Accidente de Trabajo,Moderado,9,Acto inseguro (No uso de EPP)
INC-0384,2024-06-17,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Acto inseguro (No uso de EPP)
INC-0385,2024-06-24,Logística/Bodega,Accidente de Trabajo,Leve,3,Acto inseguro (No uso de EPP)
INC-0435,2024-06-27,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Condición insegura (Herramienta/Equipo)
INC-0365,2024-07-07,Logística/Bodega,Incapacidad Común,Leve,1,Condición insegura (Herramienta/Equipo)
INC-0431,2024-07-07,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Acto inseguro (No uso de EPP)
INC-0237,2024-07-10,Logística/Bodega,Casi Accidente (Near Miss),N/A,0,Falta de procedimiento/Capacitación
INC-0320,2024-07-12,Comercial/Campo,Casi Accidente (Near Miss),N/A,0,Peligro locativo / Desorden
INC-0406,2024-07-16,Comercial/Campo,Accidente de Trabajo,Moderado,8,Acto inseguro (No uso de EPP)
INC-0084,2024-07-22,Operaciones/Planta,Incapacidad Común,Leve,3,Acto inseguro (No uso de EPP)
INC-0253,2024-07-23,Administración,Accidente de Trabajo,Leve,1,Peligro locativo / Desorden
INC-0236,2024-07-24,Administración,Casi Accidente (Near Miss),N/A,0,Falta de procedimiento/Capacitación
INC-0423,2024-07-24,Mantenimiento,Accidente de Trabajo,Leve,3,Condición insegura (Herramienta/Equipo)
INC-0419,2024-07-26,Administración,Casi Accidente (Near Miss),N/A,0,Condición insegura (Herramienta/Equipo)
INC-0169,2024-07-28,Mantenimiento,Incapacidad Común,Leve,3,Acto inseguro (No uso de EPP)
INC-0057,2024-07-28,Comercial/Campo,Incapacidad Común,Leve,2,Acto inseguro (No uso de EPP)
INC-0303,2024-07-28,Comercial/Campo,Accidente de Trabajo,Moderado,12,Peligro locativo / Desorden
INC-0436,2024-07-28,Mantenimiento,Accidente de Trabajo,Leve,2,Peligro locativo / Desorden
INC-0346,2024-07-31,Operaciones/Planta,Accidente de Trabajo,Leve,2,Fatiga / Factor humano
INC-0393,2024-08-09,Logística/Bodega,Incapacidad Común,Grave,18,Falta de procedimiento/Capacitación
INC-0398,2024-08-16,Mantenimiento,Accidente de Trabajo,Leve,2,Falta de procedimiento/Capacitación
INC-0156,2024-08-20,Logística/Bodega,Casi Accidente (Near Miss),N/A,0,Acto inseguro (No uso de EPP)
INC-0428,2024-08-23,Operaciones/Planta,Accidente de Trabajo,Grave,26,Peligro locativo / Desorden
INC-0392,2024-08-24,Logística/Bodega,Incapacidad Común,Grave,34,Condición insegura (Herramienta/Equipo)
INC-0165,2024-08-26,Operaciones/Planta,Accidente de Trabajo,Moderado,11,Falta de procedimiento/Capacitación
INC-0050,2024-08-29,Comercial/Campo,Incapacidad Común,Leve,3,Peligro locativo / Desorden
INC-0191,2024-09-01,Operaciones/Planta,Accidente de Trabajo,Leve,2,Acto inseguro (No uso de EPP)
INC-0434,2024-09-04,Mantenimiento,Casi Accidente (Near Miss),N/A,0,Falta de procedimiento/Capacitación
INC-0291,2024-09-11,Mantenimiento,Accidente de Trabajo,Leve,1,Acto inseguro (No uso de EPP)
INC-0364,2024-09-15,Logística/Bodega,Casi Accidente (Near Miss),N/A,0,Condición insegura (Herramienta/Equipo)
INC-0052,2024-09-17,Mantenimiento,Enfermedad Laboral,Leve,2,Acto inseguro (No uso de EPP)
INC-0085,2024-09-25,Mantenimiento,Incapacidad Común,Moderado,12,Falta de procedimiento/Capacitación
INC-0064,2024-09-25,Operaciones/Planta,Accidente de Trabajo,Moderado,8,Condición insegura (Herramienta/Equipo)
INC-0229,2024-09-26,Operaciones/Planta,Incapacidad Común,Moderado,13,Condición insegura (Herramienta/Equipo)
INC-0328,2024-09-28,Logística/Bodega,Casi Accidente (Near Miss),N/A,0,Fatiga / Factor humano
INC-0020,2024-10-04,Logística/Bodega,Casi Accidente (Near Miss),N/A,0,Falta de procedimiento/Capacitación
INC-0317,2024-10-05,Logística/Bodega,Casi Accidente (Near Miss),N/A,0,Fatiga / Factor humano
INC-0450,2024-10-07,Logística/Bodega,Casi Accidente (Near Miss),N/A,0,Falta de procedimiento/Capacitación
INC-0194,2024-10-07,Logística/Bodega,Accidente de Trabajo,Moderado,10,Peligro locativo / Desorden
INC-0326,2024-10-11,Operaciones/Planta,Casi Accidente (Near Miss),N/A,0,Condición insegura (Herramienta/Equipo)
