ID_Cliente,Recencia,Frecuencia,Monto,R_Score,F_Score,M_Score,RFM_Segmento
CLI_0155,317,2,339049,1,1,2,112
CLI_0156,122,3,480072,1,2,2,122
CLI_0157,54,3,185766,2,2,1,221
CLI_0158,14,5,326899,4,3,1,431
CLI_0159,134,4,623317,1,2,3,123
CLI_0160,92,5,825943,2,3,4,234
CLI_0161,29,7,1123090,3,4,4,344
CLI_0162,150,5,858062,1,3,4,134
CLI_0163,38,10,1276676,3,4,4,344
CLI_0164,16,6,935565,4,4,4,444
CLI_0165,176,4,549881,1,2,3,123
CLI_0166,16,8,1076134,4,4,4,444
CLI_0167,68,4,425229,2,2,2,222
CLI_0168,19,10,1049525,4,4,4,444
CLI_0169,67,2,453424,2,1,2,212
CLI_0170,48,3,552322,3,2,3,323
CLI_0171,12,2,233157,4,1,1,411
CLI_0172,4,3,366926,4,2,2,422
CLI_0173,37,6,820642,3,4,4,344
CLI_0174,266,1,51619,1,1,1,111
CLI_0175,160,4,438028,1,2,2,122
CLI_0176,93,4,720178,2,2,3,223
CLI_0177,22,5,757249,3,3,3,333
CLI_0178,9,9,1184441,4,4,4,444
CLI_0179,33,5,524833,3,3,3,333
CLI_0180,31,2,349320,3,1,2,312
CLI_0181,56,9,939265,2,4,4,244
CLI_0182,16,4,541244,4,2,3,423
CLI_0183,82,4,313543,2,2,1,221
CLI_0184,48,2,257911,3,1,1,311
CLI_0185,149,2,313062,1,1,1,111
CLI_0186,59,6,528424,2,4,3,243
CLI_0187,28,6,702440,3,4,3,343
CLI_0188,73,8,863054,2,4,4,244
CLI_0189,247,3,338676,1,2,2,122
CLI_0190,14,5,515448,4,3,2,432
CLI_0191,10,4,493913,4,2,2,422
CLI_0192,84,10,1375360,2,4,4,244
CLI_0193,1,3,245176,4,2,1,421
CLI_0194,51,5,759499,3,3,3,333
CLI_0195,11,3,225877,4,2,1,421
CLI_0196,8,4,366848,4,3,2,432
CLI_0197,30,3,260712,3,2,1,321
CLI_0198,57,4,391889,2,3,2,232
CLI_0199,152,3,401431,1,2,2,122
CLI_0200,84,2,197299,2,1,1,211
CLI_0201,211,2,444370,1,1,2,112
CLI_0202,61,3,257544,2,2,1,221
CLI_0203,15,6,1102537,4,4,4,444
CLI_0204,99,6,672150,2,4,3,243
CLI_0205,266,2,400991,1,1,2,112
CLI_0206,12,3,231608,4,2,1,421
CLI_0207,96,7,1326961,2,4,4,244
CLI_0208,28,3,508585,3,2,2,322
CLI_0209,12,4,645763,4,3,3,433
CLI_0210,14,5,929854,4,3,4,434
CLI_0211,9,3,181618,4,2,1,421
CLI_0212,318,1,92820,1,1,1,111
CLI_0213,8,3,335018,4,2,1,421
CLI_0214,2,4,401207,4,3,2,432
CLI_0215,15,8,889358,4,4,4,444
CLI_0216,36,7,577330,3,4,3,343
CLI_0217,27,5,492424,3,3,2,332
CLI_0218,71,8,704381,2,4,3,243
CLI_0219,40,5,361500,3,3,2,332
CLI_0220,47,4,523753,3,3,3,333
CLI_0221,30,6,694443,3,4,3,343
CLI_0222,1,3,209868,4,2,1,421
CLI_0223,5,4,539528,4,3,3,433
CLI_0224,98,7,842026,2,4,4,244
CLI_0225,152,4,423820,1,3,2,132
CLI_0226,159,4,252667,1,3,1,131
CLI_0227,35,4,513377,3,3,2,332
CLI_0228,53,4,378878,3,3,2,332
CLI_0229,26,6,378491,3,4,2,342
CLI_0230,74,2,130771,2,1,1,211
CLI_0231,148,4,684682,1,3,3,133
CLI_0232,27,4,667228,3,3,3,333
CLI_0233,82,3,542317,2,2,3,223
CLI_0234,10,4,822159,4,3,4,434
CLI_0235,64,4,774139,2,3,4,234
CLI_0236,102,5,664859,2,3,3,233
CLI_0237,10,7,738367,4,4,3,443
CLI_0238,8,6,1159071,4,4,4,444
CLI_0239,110,4,478850,1,3,2,132
CLI_0240,136,1,84614,1,1,1,111
CLI_0241,49,4,517002,3,3,2,332
CLI_0242,57,6,764045,2,4,3,243
CLI_0243,139,4,406197,1,3,2,132
CLI_0244,213,2,122657,1,1,1,111
CLI_0245,70,5,528033,2,3,3,233
CLI_0246,128,3,583554,1,2,3,123
CLI_0247,22,7,1354170,3,4,4,344
CLI_0249,3,3,905873,4,2,4,424
CLI_0250,3,1,113764,4,1,1,411
CLI_0251,152,4,560351,1,3,3,133
CLI_0252,21,2,155217,3,1,1,311
CLI_0253,4,4,549596,4,3,3,433
CLI_0254,148,2,298727,1,1,1,111
CLI_0255,22,5,890374,3,3,4,334
CLI_0256,22,5,848009,3,3,4,334
CLI_0257,22,5,506041,3,3,2,332
CLI_0258,30,5,502393,3,3,2,332
CLI_0259,26,3,427309,3,2,2,322
CLI_0260,328,1,173094,1,1,1,111
CLI_0261,3,2,191686,4,1,1,411
CLI_0262,25,2,223555,3,1,1,311
CLI_0263,90,5,736132,2,4,3,243
CLI_0264,3,6,850105,4,4,4,444
CLI_0265,61,4,520662,2,3,2,232
CLI_0266,52,5,606506,3,4,3,343
CLI_0267,95,2,283543,2,1,1,211
CLI_0268,33,3,783073,3,2,4,324
CLI_0269,80,1,149316,2,1,1,211
CLI_0270,12,5,526428,4,4,3,443
CLI_0271,82,6,985650,2,4,4,244
CLI_0272,72,7,919568,2,4,4,244
CLI_0273,128,7,628882,1,4,3,143
CLI_0274,9,3,245771,4,2,1,421
CLI_0275,175,4,783655,1,3,4,134
CLI_0276,158,5,640567,1,4,3,143
CLI_0277,6,4,610292,4,3,3,433
CLI_0278,79,4,355229,2,3,2,232
CLI_0279,27,3,163359,3,2,1,321
CLI_0280,142,7,697816,1,4,3,143
CLI_0281,2,6,867457,4,4,4,444
CLI_0282,196,3,453319,1,2,2,122
CLI_0283,18,8,1592781,4,4,4,444
CLI_0284,320,1,140940,1,1,1,111
CLI_0285,65,4,271162,2,3,1,231
CLI_0286,2,4,578392,4,3,3,433
CLI_0287,48,4,305239,3,3,1,331
CLI_0288,262,3,351389,1,2,2,122
CLI_0289,227,7,432804,1,4,2,142
CLI_0290,9,4,581641,4,3,3,433
CLI_0291,185,4,720582,1,3,3,133
CLI_0292,112,4,892227,1,3,4,134
CLI_0293,45,8,827538,3,4,4,344
CLI_0294,83,4,739649,2,3,3,233
CLI_0295,176,5,423053,1,4,2,142
CLI_0296,91,3,618994,2,2,3,223
CLI_0297,65,6,578042,2,4,3,243
CLI_0298,3,3,468982,4,2,2,422
CLI_0299,118,4,273389,1,3,1,131
CLI_0300,9,3,392807,4,2,2,422
