ID_Factura,Fecha_Venta,ID_Cliente,Categoria_Producto,Precio_Unitario,Cantidad,Canal_Venta
FAC_1016,2025-11-28,CLI_0052,Forros_Asiento,151553,1,Tienda Física
FAC_1186,2026-02-16,CLI_0025, Forros_Asiento ,69767,1,Tienda Física
FAC_1365,2026-04-14,CLI_0239,Forros_Asiento,177204,1,Tienda Física
FAC_1054,2026-06-12,CLI_0007,Accesorios,22944,1,Tienda Física
FAC_1109,2026-06-12,CLI_0194,Forros_Asiento,163293,1,Tienda Física
FAC_1047,2026-05-01,CLI_0217,Forros_Asiento,167315,1,Tienda Física
FAC_1193,2026-01-12,CLI_0182,Forros_Asiento,147542,2,WhatsApp
FAC_1642,2025-10-05,CLI_0173,Forros_Asiento,139134,1,Tienda Física
FAC_2158,2025-10-04,CLI_0001,Tapetes,87743,1,WhatsApp
FAC_2126,2026-04-18,CLI_0117,Forros_Asiento,141761,1,Web
FAC_1493,2026-01-12,CLI_0203,Forros_Asiento,151044,2,Web
FAC_1632,2025-08-27,CLI_0047,Forros_Asiento,142921,1,WhatsApp
FAC_2077,2026-03-17,CLI_0259,Tapetes,103302,1,Web
FAC_1296,2026-04-02,CLI_0156,Forros_Asiento,148336,2,Tienda Física
FAC_2014,2026-03-20,CLI_0178,Forros_Asiento,131863,2,Tienda Física
FAC_2016,2026-01-01,CLI_0145,Forros_Asiento,145149,1,Tienda Física
FAC_2075,2025-12-18,CLI_0046,Tapetes,72126,2,Tienda Física
FAC_1445,2026-01-30,CLI_0010,Cubre_Volantes,52581,1,Web
FAC_1626,2025-09-15,CLI_0224,Accesorios,27948,1,Web
FAC_2045,2026-06-28,CLI_0283,Forros_Asiento,140763,2,Tienda Física
FAC_1127,2026-06-20,CLI_0133,Forros_Asiento,155136,3,Web
FAC_1307,2025-09-01,CLI_0078,tapetes,81174,1,Tienda Física
FAC_1285,2025-09-26,CLI_0288,Forros_Asiento,136918,1,Tienda Física
FAC_1518,2026-02-15,CLI_0118, Forros_Asiento ,149975,1,WhatsApp
FAC_1621,2026-03-30,CLI_0207,Forros_Asiento,141551,3,WhatsApp
FAC_1829,2025-10-23,CLI_0098,tapetes,86726,1,WhatsApp
FAC_1019,2026-06-27,CLI_0249,Tapetes,87135,1,Tienda Física
FAC_1237,2025-10-31,CLI_0051,Accesorios,29071,1,WhatsApp
FAC_2109,2025-10-11,CLI_0273,Accesorios,28030,1,Tienda Física
FAC_2003,2025-11-09,CLI_0205,Tapetes,84947,1,Tienda Física
FAC_2167,2025-10-28,CLI_0151,tapetes,89123,1,Tienda Física
FAC_2004,2026-06-15,CLI_0184,Forros_Asiento,155498,1,Tienda Física
FAC_1748,2026-07-18,CLI_0061,Accesorios,26169,1,Tienda Física
FAC_1137,2026-02-04,CLI_0022,Forros_Asiento,142046,1,Tienda Física
FAC_1397,2026-05-03,CLI_0034,Forros_Asiento,128488,1,Tienda Física
FAC_2196,2026-06-14,CLI_0047,Forros_Asiento,140621,1,WhatsApp
FAC_1982,2026-05-07,CLI_0257,Forros_Asiento,148315,1,Tienda Física
FAC_1011,2025-08-25,CLI_0056,Tapetes,85201,1,Tienda Física
FAC_1891,2026-07-03,CLI_0154,Tapetes,79674,1,Tienda Física
FAC_1299,2026-02-23,,tapetes,158648,1,WhatsApp
FAC_1056,2026-07-08,CLI_0015,Forros_Asiento,144626,2,Tienda Física
FAC_1653,2025-09-29,CLI_0273,Accesorios,25649,1,Tienda Física
FAC_1697,2025-12-24,CLI_0067,Forros_Asiento,175307,2,WhatsApp
FAC_2130,2026-06-12,CLI_0111,Tapetes,98283,1,WhatsApp
FAC_1972,2026-01-17,,Tapetes,81701,1,WhatsApp
FAC_2054,2025-09-14,CLI_0229, Forros_Asiento ,84904,1,Web
FAC_1442,2026-07-24,CLI_0112,Forros_Asiento,140743,-1,Tienda Física
FAC_1870,2026-02-25,CLI_0137,Forros_Asiento,137571,1,Tienda Física
FAC_1427,2026-07-14,,Tapetes,87298,1,WhatsApp
FAC_1945,2025-08-02,CLI_0062,Tapetes,84925,1,Web
FAC_1457,2025-11-03,CLI_0300,Tapetes,70810,1,Tienda Física
FAC_1336,2025-12-21,CLI_0020,Cubre_Volantes,40906,2,Tienda Física
FAC_1021,2026-02-13,CLI_0293,Forros_Asiento,127135,2,Tienda Física
FAC_1273,2026-05-17,CLI_0178, Forros_Asiento ,48968,1,Tienda Física
FAC_1141,2026-07-14,CLI_0168,Tapetes,73098,1,WhatsApp
FAC_1387,2025-12-28,CLI_0038,Forros_Asiento,166594,2,Tienda Física
FAC_1253,2026-05-04,CLI_0076,Forros_Asiento,152545,-1,Tienda Física
FAC_2039,2025-11-06,CLI_0229,Cubre_Volantes,47606,1,Tienda Física
FAC_1863,2025-08-16,CLI_0078,Forros_Asiento,155916,-1,Tienda Física
FAC_1846,2026-05-03,CLI_0296,Forros_Asiento,145946,2,Tienda Física
FAC_1233,2026-03-29,CLI_0023,Accesorios,25625,2,Tienda Física
FAC_1453,2025-10-07,CLI_0104,Tapetes,74710,1,Tienda Física
FAC_1229,2026-06-19,CLI_0179,Tapetes,69127,1,Tienda Física
FAC_1869,2026-02-14,CLI_0231, Forros_Asiento ,157640,2,Tienda Física
FAC_2180,2025-11-28,CLI_0289,Cubre_Volantes,48726,2,Tienda Física
FAC_1529,2026-05-31,CLI_0118,tapetes,89071,1,WhatsApp
FAC_1168,2026-07-30,CLI_0261,Forros_Asiento,169304,1,Tienda Física
FAC_1782,2025-10-11,CLI_0282, Forros_Asiento ,96308,3,Tienda Física
FAC_1859,2026-05-23,CLI_0218,Forros_Asiento,123319,2,Tienda Física
FAC_1440,2026-06-11,,Tapetes,83275,1,Web
FAC_1433,2025-09-07,CLI_0127,Tapetes,89088,1,Tienda Física
FAC_1986,2025-08-25,CLI_0029,Tapetes,73597,3,Tienda Física
FAC_1976,2026-07-17,CLI_0182,Accesorios,23431,1,WhatsApp
FAC_1232,2025-08-04,CLI_0149,Forros_Asiento,134180,1,Tienda Física
FAC_1072,2026-01-11,,Accesorios,26540,1,Tienda Física
FAC_1609,2026-03-23,CLI_0210,Forros_Asiento,162347,1,Tienda Física
FAC_1074,2025-08-25,CLI_0251,Cubre_Volantes,43004,1,Tienda Física
FAC_1660,2026-07-04,CLI_0161,Forros_Asiento,109546,1,Tienda Física
FAC_2099,2025-11-23,CLI_0084, Forros_Asiento ,76353,1,Tienda Física
FAC_1696,2026-04-12,CLI_0049,Tapetes,85933,2,Tienda Física
FAC_2013,2026-07-24,CLI_0211,Forros_Asiento,129559,1,Tienda Física
FAC_1464,2026-05-26,CLI_0144,tapetes,72813,2,Tienda Física
FAC_1749,2025-12-06,CLI_0194,Forros_Asiento,146175,2,Tienda Física
FAC_1982,2026-02-11,CLI_0132,Tapetes,98529,1,Tienda Física
FAC_1974,2025-11-04,CLI_0162, Forros_Asiento ,24625,1,Tienda Física
FAC_1761,2025-11-16,CLI_0008,Forros_Asiento,157279,1,Tienda Física
FAC_1036,2026-06-08,CLI_0054,Forros_Asiento,160825,1,Tienda Física
FAC_2044,2026-02-18,CLI_0264, Forros_Asiento ,86217,2,Tienda Física
FAC_1141,2025-09-15,CLI_0165,Forros_Asiento,160664,1,Tienda Física
FAC_1550,2026-03-25,CLI_0263,Tapetes,79870,1,WhatsApp
FAC_1504,2025-12-07,CLI_0197,Accesorios,28418,2,Tienda Física
FAC_1769,2025-09-05,CLI_0020, Forros_Asiento ,169736,1,WhatsApp
FAC_2000,2026-01-11,CLI_0280,Tapetes,67303,2,Tienda Física
FAC_1130,2026-02-26,CLI_0224,Tapetes,84830,1,Tienda Física
FAC_1599,2025-11-15,CLI_0237,Forros_Asiento,154617,1,Tienda Física
FAC_2063,2026-05-24,CLI_0154, Forros_Asiento ,134989,2,Tienda Física
FAC_1414,2025-11-09,CLI_0017,Forros_Asiento,125556,1,Tienda Física
FAC_2115,2026-06-10,CLI_0027,Tapetes,80228,1,Web
FAC_1460,2026-05-29,CLI_0173,Accesorios,29051,-2,WhatsApp
FAC_1024,2026-01-30,CLI_0130,Tapetes,81441,2,Tienda Física
FAC_1647,2025-08-06,CLI_0282,Accesorios,25466,1,Tienda Física
FAC_1404,2026-01-04,CLI_0187,Accesorios,27061,1,Tienda Física
FAC_1827,2026-02-05,CLI_0246,Tapetes,102691,1,Tienda Física
FAC_2156,2025-08-13,,tapetes,87530,1,WhatsApp
FAC_1195,2026-04-07,CLI_0073,tapetes,23799,3,Tienda Física
FAC_1330,2025-12-11,CLI_0042,Accesorios,29937,1,Tienda Física
FAC_1837,2026-04-12,CLI_0017,Forros_Asiento,145383,1,Web
FAC_1466,2026-06-27,CLI_0216,Tapetes,86510,1,WhatsApp
FAC_2023,2026-06-06,CLI_0198,Tapetes,91840,2,Web
FAC_1839,2026-07-21,CLI_0026,Cubre_Volantes,51096,2,Tienda Física
FAC_1256,2026-03-26,CLI_0270,Accesorios,27046,1,Tienda Física
FAC_1117,2025-09-09,CLI_0215,Accesorios,24518,1,WhatsApp
FAC_1687,2026-01-01,CLI_0103,Accesorios,24832,1,Tienda Física
FAC_1483,2025-12-22,,Tapetes,81306,1,WhatsApp
FAC_1826,2026-02-16,CLI_0039,Tapetes,67319,1,Tienda Física
FAC_1799,2026-04-19,CLI_0210,Tapetes,79470,2,Tienda Física
FAC_1499,2025-08-05,,Tapetes,83146,2,WhatsApp
FAC_1452,2026-03-30,CLI_0096,Forros_Asiento,151234,2,WhatsApp
FAC_2042,2026-05-24,CLI_0245,Cubre_Volantes,50504,1,Tienda Física
FAC_1457,2026-01-18,CLI_0065,Tapetes,79239,1,Tienda Física
FAC_1849,2025-09-07,CLI_0146,Forros_Asiento,129833,1,Tienda Física
FAC_1731,2026-01-30,CLI_0140, Forros_Asiento ,120994,1,Web
FAC_1141,2025-11-05,CLI_0295, Forros_Asiento ,26407,1,WhatsApp
FAC_1888,2025-10-07,CLI_0153,Cubre_Volantes,55393,1,WhatsApp
FAC_1798,2026-03-16,CLI_0243,Forros_Asiento,167072,1,Tienda Física
FAC_1314,2026-06-14,CLI_0241,Forros_Asiento,142236,1,Web
FAC_1904,2026-03-06,,Accesorios,26288,2,WhatsApp
FAC_1423,2026-02-12,,Cubre_Volantes,51392,1,Web
FAC_2126,2025-12-29,CLI_0089,Accesorios,30589,1,Tienda Física
FAC_1636,2026-05-18,CLI_0137,Tapetes,79791,1,Tienda Física
FAC_1011,2025-10-26,CLI_0025,Accesorios,24827,1,Tienda Física
FAC_1863,2026-03-03,CLI_0251,Forros_Asiento,123771,1,WhatsApp
FAC_1682,2025-11-06,CLI_0081,tapetes,80600,1,Tienda Física
FAC_1423,2026-04-24,CLI_0056,Accesorios,27268,1,WhatsApp
FAC_1686,2026-05-15,CLI_0216,Tapetes,88480,2,WhatsApp
FAC_2025,2025-08-26,CLI_0181,Tapetes,91974,1,WhatsApp
FAC_1910,2026-05-30,CLI_0235,Tapetes,79481,1,Web
FAC_1479,2026-04-16,CLI_0039,Tapetes,80393,-2,Tienda Física
FAC_1466,2026-02-07,CLI_0295,Accesorios,25071,2,Tienda Física
FAC_1528,2026-06-04,CLI_0223,Forros_Asiento,159788,1,Tienda Física
FAC_1554,2026-04-18,,Forros_Asiento,146682,1,Tienda Física
FAC_2121,2026-03-21,CLI_0037,Accesorios,22036,1,Tienda Física
FAC_1927,2025-11-11,CLI_0219,Cubre_Volantes,42991,1,Tienda Física
FAC_1347,2026-07-25,CLI_0022,Accesorios,24415,2,WhatsApp
FAC_1340,2026-07-21,CLI_0007,Forros_Asiento,155506,1,Tienda Física
FAC_1301,2025-12-18,CLI_0058,Accesorios,27841,1,Tienda Física
FAC_2129,2026-05-06,CLI_0099,Forros_Asiento,160174,1,Tienda Física
FAC_1555,2026-01-02,CLI_0288, Forros_Asiento ,159729,-2,Tienda Física
FAC_1130,2026-03-30,CLI_0236,Tapetes,74117,2,Tienda Física
FAC_1171,2025-08-30,CLI_0058,Accesorios,20383,1,WhatsApp
FAC_2041,2025-10-13,CLI_0271,Forros_Asiento,131226,2,Tienda Física
FAC_1634,2026-06-27,CLI_0093, Forros_Asiento ,81439,-1,WhatsApp
FAC_1502,2026-06-07,CLI_0181,Accesorios,26149,1,Web
FAC_1776,2026-05-03,CLI_0222,Cubre_Volantes,44272,-1,Tienda Física
FAC_1464,2025-12-11,CLI_0166, Forros_Asiento ,139854,2,Tienda Física
FAC_1178,2026-05-02,CLI_0072,Forros_Asiento,130103,2,Tienda Física
FAC_1503,2026-03-07,CLI_0095,Tapetes,81155,1,WhatsApp
FAC_1822,2026-05-13,CLI_0179,Tapetes,87192,1,Tienda Física
FAC_1937,2026-03-08,CLI_0148,Forros_Asiento,186030,1,Tienda Física
FAC_1771,2026-07-13,CLI_0077,Accesorios,27557,1,Tienda Física
FAC_1650,2026-06-27,CLI_0174,Forros_Asiento,152931,-1,WhatsApp
FAC_2099,2025-09-21,CLI_0123,Accesorios,25254,1,Tienda Física
FAC_1862,2025-08-11,CLI_0204,Cubre_Volantes,45268,1,WhatsApp
FAC_1893,2025-08-30,CLI_0251,Accesorios,23551,2,Tienda Física
FAC_1617,2026-04-13,CLI_0022,Tapetes,103325,2,Tienda Física
FAC_1597,2025-11-22,CLI_0012,Tapetes,99755,1,Tienda Física
FAC_2134,2025-10-27,CLI_0055,Forros_Asiento,145194,1,Tienda Física
FAC_1822,2025-10-24,CLI_0288,Accesorios,24534,2,Tienda Física
FAC_1810,2026-05-11,CLI_0059,Tapetes,77067,-2,WhatsApp
FAC_1607,2026-03-23,,Forros_Asiento,142466,1,Tienda Física
FAC_2052,2025-12-18,CLI_0024,Tapetes,88393,2,Tienda Física
FAC_1323,2025-11-19,CLI_0117,Forros_Asiento,126572,3,Tienda Física
FAC_1532,2025-10-26,CLI_0295, Forros_Asiento ,96194,1,Tienda Física
FAC_1860,2026-03-03,CLI_0225,Tapetes,97550,2,Tienda Física
FAC_1970,2026-02-06,CLI_0041,Accesorios,25809,1,Tienda Física
FAC_1291,2026-05-18,CLI_0084,Accesorios,26929,1,Tienda Física
FAC_1235,2026-03-23,CLI_0066,tapetes,155614,1,WhatsApp
FAC_1940,2026-05-06,CLI_0164,Forros_Asiento,175751,2,Web
FAC_1871,2026-05-15,CLI_0266,Tapetes,85652,1,WhatsApp
FAC_1755,2026-08-01,CLI_0001,tapetes,182846,1,Tienda Física
FAC_1495,2025-10-06,CLI_0175,Forros_Asiento,171068,1,WhatsApp
FAC_1897,2026-02-12,CLI_0156,Tapetes,88246,1,WhatsApp
FAC_1786,2025-09-26,CLI_0130,Tapetes,80610,1,Tienda Física
FAC_1954,2025-12-23,CLI_0035,tapetes,152237,1,Tienda Física
FAC_1978,2026-07-09,CLI_0206,Cubre_Volantes,45353,1,WhatsApp
FAC_2070,2026-06-22,CLI_0126,Forros_Asiento,179575,1,Web
FAC_2056,2026-04-14,CLI_0178, Forros_Asiento ,83864,2,Tienda Física
FAC_1394,2026-01-18,CLI_0129, Forros_Asiento ,78772,1,WhatsApp
FAC_1081,2025-09-15,,Forros_Asiento,162077,1,Web
FAC_1348,2026-03-02,CLI_0136,Tapetes,105429,1,WhatsApp
FAC_1375,2025-09-06,CLI_0289,Accesorios,25495,1,WhatsApp
FAC_1306,2026-04-28,CLI_0090,Cubre_Volantes,47276,-2,Tienda Física
FAC_2018,2025-09-28,CLI_0161, Forros_Asiento ,125797,2,Tienda Física
FAC_1472,2026-03-12,CLI_0098,Accesorios,25851,2,Tienda Física
FAC_1345,2026-02-19,CLI_0082,Forros_Asiento,165703,1,WhatsApp
FAC_1243,2025-12-04,CLI_0089,tapetes,145206,2,Tienda Física
FAC_1922,2026-02-27,CLI_0093,Tapetes,94958,3,Tienda Física
FAC_2141,2026-04-29,CLI_0267,Forros_Asiento,130602,1,WhatsApp
FAC_2064,2025-12-11,CLI_0003,Tapetes,79150,3,Tienda Física
FAC_1883,2026-04-06,CLI_0300,Cubre_Volantes,45403,1,Tienda Física
FAC_2007,2025-11-28,CLI_0021,Forros_Asiento,174365,1,Tienda Física
FAC_1125,2026-05-21,CLI_0281, Forros_Asiento ,161383,1,WhatsApp
FAC_1557,2026-05-01,,Forros_Asiento,148546,1,Tienda Física
FAC_1538,2026-01-28,CLI_0027,Tapetes,77600,1,Web
FAC_1830,2026-07-19,CLI_0158,Tapetes,77954,1,WhatsApp
FAC_1871,2026-02-19,CLI_0263,Forros_Asiento,135262,1,WhatsApp
FAC_1631,2026-02-23,CLI_0241,Forros_Asiento,177699,1,Tienda Física
FAC_1857,2026-05-04,CLI_0263,Forros_Asiento,149705,1,WhatsApp
FAC_2020,2025-08-17,CLI_0141, Forros_Asiento ,134973,1,WhatsApp
FAC_1356,2026-03-22,CLI_0009,Accesorios,24290,1,WhatsApp
FAC_1583,2025-10-10,CLI_0152,Forros_Asiento,161096,1,Tienda Física
FAC_1320,2026-03-07,CLI_0019,Forros_Asiento,139223,2,WhatsApp
FAC_1102,2025-11-11,CLI_0242, Forros_Asiento ,89986,2,Tienda Física
FAC_2006,2025-10-07,CLI_0149,Forros_Asiento,148796,2,Tienda Física
FAC_2110,2026-02-01,CLI_0160,Forros_Asiento,168368,2,WhatsApp
FAC_1315,2025-10-22,CLI_0258,Forros_Asiento,141793,1,Tienda Física
FAC_1015,2025-12-04,CLI_0125,Tapetes,79748,3,WhatsApp
FAC_1887,2026-02-28,CLI_0042,Tapetes,87572,1,Web
FAC_1508,2026-05-05,, Forros_Asiento ,27023,1,Tienda Física
FAC_2077,2025-11-07,CLI_0196,Forros_Asiento,140260,1,Tienda Física
FAC_1594,2026-04-13,CLI_0160,Accesorios,23697,-1,Tienda Física
FAC_1542,2026-05-23,CLI_0058,Accesorios,26156,3,Tienda Física
FAC_1988,2026-07-31,CLI_0286,Tapetes,99216,1,Tienda Física
FAC_2164,2026-07-05,CLI_0208,Tapetes,96145,2,Tienda Física
FAC_1518,2025-12-28,CLI_0279,Tapetes,65147,1,Tienda Física
FAC_2190,2026-07-23,CLI_0149,Forros_Asiento,168196,1,Tienda Física
FAC_2051,2026-03-19,CLI_0272,Forros_Asiento,156377,1,Tienda Física
FAC_1313,2025-10-21,CLI_0258,Forros_Asiento,139769,1,Web
FAC_1433,2026-04-27,CLI_0154,Tapetes,77791,1,WhatsApp
FAC_1544,2025-08-21,CLI_0101,Tapetes,84948,2,Tienda Física
FAC_1605,2025-10-11,CLI_0291,Tapetes,92534,1,WhatsApp
FAC_1368,2025-11-01,CLI_0007,Tapetes,79023,1,Tienda Física
FAC_1295,2025-10-30,CLI_0130,Forros_Asiento,132181,1,Tienda Física
FAC_1612,2026-07-31,CLI_0281,Cubre_Volantes,48205,1,Tienda Física
FAC_1452,2026-05-29,CLI_0238,Forros_Asiento,134648,1,Tienda Física
FAC_2174,2025-08-22,CLI_0117,Tapetes,75946,1,Tienda Física
FAC_2112,2026-04-10,CLI_0173,Tapetes,71559,1,Tienda Física
FAC_1965,2025-10-24,,Cubre_Volantes,36889,1,Tienda Física
FAC_1300,2025-09-19,CLI_0254, Forros_Asiento ,131854,1,WhatsApp
FAC_1444,2026-03-25,CLI_0266,Forros_Asiento,167159,1,Tienda Física
FAC_1239,2025-08-09,CLI_0083,Tapetes,90490,2,Tienda Física
FAC_1377,2025-11-28,CLI_0263,Forros_Asiento,139363,2,WhatsApp
FAC_1028,2025-11-05,,Forros_Asiento,152408,1,Tienda Física
FAC_1206,2026-03-07,CLI_0231,Forros_Asiento,157359,1,WhatsApp
FAC_1468,2026-07-09,CLI_0007,Accesorios,29286,1,Tienda Física
FAC_1577,2026-02-27,CLI_0133,Tapetes,81547,1,Tienda Física
FAC_1497,2026-06-16,CLI_0079,Tapetes,81671,1,Tienda Física
FAC_1318,2026-06-06,CLI_0013,Tapetes,88889,1,Tienda Física
FAC_1815,2025-08-20,CLI_0188,Forros_Asiento,149770,1,WhatsApp
FAC_2091,2026-06-24,CLI_0196,Tapetes,79161,1,WhatsApp
FAC_2161,2025-10-13,CLI_0221,Forros_Asiento,166373,1,Tienda Física
FAC_1853,2025-11-19,CLI_0105,Tapetes,87421,1,Tienda Física
FAC_1505,2025-12-04,CLI_0242,Tapetes,83318,1,Tienda Física
FAC_1256,2026-04-01,CLI_0290,Cubre_Volantes,54707,1,Tienda Física
FAC_1754,2025-09-06,CLI_0173,Tapetes,88114,1,Tienda Física
FAC_1958,2026-01-10,CLI_0200,Accesorios,30033,1,Tienda Física
FAC_1218,2026-06-07,CLI_0228,Accesorios,22993,2,Tienda Física
FAC_1797,2025-12-27,CLI_0261, Forros_Asiento ,22382,1,Tienda Física
FAC_1209,2026-02-11,CLI_0111,Accesorios,24685,1,Tienda Física
FAC_1016,2026-03-23,,Cubre_Volantes,49482,1,Tienda Física
FAC_1493,2026-02-22,CLI_0266,Forros_Asiento,164432,1,WhatsApp
FAC_1197,2025-12-29,,Forros_Asiento,150855,1,Web
FAC_1678,2026-03-11,CLI_0010,Tapetes,75874,1,Tienda Física
FAC_2125,2026-03-02,CLI_0124,Cubre_Volantes,42323,1,Tienda Física
FAC_2028,2025-12-12,CLI_0172,Forros_Asiento,154725,1,Tienda Física
FAC_1129,2026-05-24,CLI_0032,Accesorios,21648,2,Tienda Física
FAC_1978,2025-09-03,CLI_0149,Accesorios,25755,1,WhatsApp
FAC_1786,2025-09-15,CLI_0135,Tapetes,89173,2,Tienda Física
FAC_1015,2026-04-17,CLI_0022,Forros_Asiento,166871,1,Tienda Física
FAC_1439,2026-01-11,CLI_0283,Accesorios,25806,1,Web
