ID_Factura,Fecha_Venta,ID_Cliente,Categoria_Producto,Precio_Unitario,Cantidad,Canal_Venta,Total_Venta
FAC_2043,2026-03-19,CLI_0240,Tapetes,84614,1,WhatsApp,84614
FAC_1508,2026-04-28,CLI_0259,Forros_Asiento,179007,1,Tienda Física,179007
FAC_1070,2026-04-26,CLI_0147,Tapetes,85077,1,Tienda Física,85077
FAC_1728,2026-07-21,CLI_0039,Forros_Asiento,147848,1,Web,147848
FAC_1388,2026-05-18,CLI_0151,Forros_Asiento,138251,1,Tienda Física,138251
FAC_1858,2025-10-06,CLI_0140,Tapetes,82241,1,Tienda Física,82241
FAC_1208,2025-10-18,CLI_0116,Accesorios,25626,1,Tienda Física,25626
FAC_1522,2026-06-18,CLI_0227,Tapetes,153394,2,Tienda Física,306788
FAC_1723,2025-10-07,CLI_0163,Cubre_Volantes,44356,1,WhatsApp,44356
FAC_1849,2026-01-14,CLI_0277,Forros_Asiento,135379,2,Tienda Física,270758
FAC_1614,2026-02-25,CLI_0128,Tapetes,163008,2,Tienda Física,326016
FAC_1736,2026-07-25,CLI_0238,Forros_Asiento,129451,1,Tienda Física,129451
FAC_1652,2025-11-23,CLI_0027,Cubre_Volantes,49097,1,WhatsApp,49097
FAC_1852,2026-05-08,CLI_0147,Tapetes,82750,3,Tienda Física,248250
FAC_2175,2025-11-26,CLI_0006,Accesorios,20541,1,Tienda Física,20541
FAC_2072,2026-03-29,CLI_0181,Forros_Asiento,148138,2,Tienda Física,296276
FAC_1276,2026-02-01,CLI_0058,Forros_Asiento,160651,1,Web,160651
FAC_1555,2025-10-20,CLI_0151,Forros_Asiento,159526,1,Tienda Física,159526
FAC_1399,2025-11-13,CLI_0299,Tapetes,88041,1,WhatsApp,88041
FAC_1223,2026-06-23,CLI_0013,Tapetes,79330,1,Tienda Física,79330
FAC_1115,2026-02-23,CLI_0092,Accesorios,24211,2,Tienda Física,48422
FAC_1145,2026-05-23,CLI_0186,Tapetes,74798,2,Tienda Física,149596
FAC_1156,2026-07-02,CLI_0180,Forros_Asiento,143782,1,Tienda Física,143782
FAC_1093,2026-05-15,CLI_0047,Forros_Asiento,139044,1,WhatsApp,139044
FAC_1418,2025-10-31,CLI_0058,Forros_Asiento,130381,1,Tienda Física,130381
FAC_2152,2026-05-08,CLI_0058,Forros_Asiento,138422,2,Web,276844
FAC_1225,2026-03-09,CLI_0089,Tapetes,82285,1,WhatsApp,82285
FAC_2087,2025-12-13,CLI_0247,Forros_Asiento,181832,2,Tienda Física,363664
FAC_1913,2025-10-31,CLI_0047,Tapetes,79219,1,Tienda Física,79219
FAC_2153,2025-10-27,CLI_0218,Accesorios,24406,2,WhatsApp,48812
FAC_1144,2026-07-21,CLI_0023,Accesorios,23796,1,Tienda Física,23796
FAC_1111,2026-07-16,CLI_0016,Tapetes,101435,1,Tienda Física,101435
FAC_1487,2026-01-02,CLI_0152,Tapetes,85593,1,WhatsApp,85593
FAC_1649,2026-04-27,CLI_0101,Tapetes,86929,1,WhatsApp,86929
FAC_1263,2025-10-25,CLI_0285,Accesorios,22137,1,Tienda Física,22137
FAC_1603,2026-01-30,CLI_0264,Forros_Asiento,142703,1,Tienda Física,142703
FAC_1450,2025-12-23,CLI_0164,Forros_Asiento,156729,1,Tienda Física,156729
FAC_1830,2026-07-12,CLI_0013,Cubre_Volantes,44020,2,WhatsApp,88040
FAC_1032,2026-06-02,CLI_0084,Forros_Asiento,159492,1,WhatsApp,159492
FAC_1566,2026-05-12,CLI_0233,Forros_Asiento,146411,2,WhatsApp,292822
FAC_1016,2025-11-28,CLI_0052,Forros_Asiento,151553,1,Tienda Física,151553
FAC_1186,2026-02-16,CLI_0025,Forros_Asiento,69767,1,Tienda Física,69767
FAC_1365,2026-04-14,CLI_0239,Forros_Asiento,177204,1,Tienda Física,177204
FAC_1054,2026-06-12,CLI_0007,Accesorios,22944,1,Tienda Física,22944
FAC_1109,2026-06-12,CLI_0194,Forros_Asiento,163293,1,Tienda Física,163293
FAC_1047,2026-05-01,CLI_0217,Forros_Asiento,167315,1,Tienda Física,167315
FAC_1193,2026-01-12,CLI_0182,Forros_Asiento,147542,2,WhatsApp,295084
FAC_1642,2025-10-05,CLI_0173,Forros_Asiento,139134,1,Tienda Física,139134
FAC_2158,2025-10-04,CLI_0001,Tapetes,87743,1,WhatsApp,87743
FAC_2126,2026-04-18,CLI_0117,Forros_Asiento,141761,1,Web,141761
FAC_1493,2026-01-12,CLI_0203,Forros_Asiento,151044,2,Web,302088
FAC_1632,2025-08-27,CLI_0047,Forros_Asiento,142921,1,WhatsApp,142921
FAC_2077,2026-03-17,CLI_0259,Tapetes,103302,1,Web,103302
FAC_1296,2026-04-02,CLI_0156,Forros_Asiento,148336,2,Tienda Física,296672
FAC_2014,2026-03-20,CLI_0178,Forros_Asiento,131863,2,Tienda Física,263726
FAC_2016,2026-01-01,CLI_0145,Forros_Asiento,145149,1,Tienda Física,145149
FAC_2075,2025-12-18,CLI_0046,Tapetes,72126,2,Tienda Física,144252
FAC_1445,2026-01-30,CLI_0010,Cubre_Volantes,52581,1,Web,52581
FAC_1626,2025-09-15,CLI_0224,Accesorios,27948,1,Web,27948
FAC_2045,2026-06-28,CLI_0283,Forros_Asiento,140763,2,Tienda Física,281526
FAC_1127,2026-06-20,CLI_0133,Forros_Asiento,155136,3,Web,465408
FAC_1307,2025-09-01,CLI_0078,Tapetes,81174,1,Tienda Física,81174
FAC_1285,2025-09-26,CLI_0288,Forros_Asiento,136918,1,Tienda Física,136918
FAC_1518,2026-02-15,CLI_0118,Forros_Asiento,149975,1,WhatsApp,149975
FAC_1621,2026-03-30,CLI_0207,Forros_Asiento,141551,3,WhatsApp,424653
FAC_1829,2025-10-23,CLI_0098,Tapetes,86726,1,WhatsApp,86726
FAC_1019,2026-06-27,CLI_0249,Tapetes,87135,1,Tienda Física,87135
FAC_1237,2025-10-31,CLI_0051,Accesorios,29071,1,WhatsApp,29071
FAC_2109,2025-10-11,CLI_0273,Accesorios,28030,1,Tienda Física,28030
FAC_2003,2025-11-09,CLI_0205,Tapetes,84947,1,Tienda Física,84947
FAC_2167,2025-10-28,CLI_0151,Tapetes,89123,1,Tienda Física,89123
FAC_2004,2026-06-15,CLI_0184,Forros_Asiento,155498,1,Tienda Física,155498
FAC_1748,2026-07-18,CLI_0061,Accesorios,26169,1,Tienda Física,26169
FAC_1137,2026-02-04,CLI_0022,Forros_Asiento,142046,1,Tienda Física,142046
FAC_1397,2026-05-03,CLI_0034,Forros_Asiento,128488,1,Tienda Física,128488
FAC_2196,2026-06-14,CLI_0047,Forros_Asiento,140621,1,WhatsApp,140621
FAC_1982,2026-05-07,CLI_0257,Forros_Asiento,148315,1,Tienda Física,148315
FAC_1011,2025-08-25,CLI_0056,Tapetes,85201,1,Tienda Física,85201
FAC_1891,2026-07-03,CLI_0154,Tapetes,79674,1,Tienda Física,79674
FAC_1056,2026-07-08,CLI_0015,Forros_Asiento,144626,2,Tienda Física,289252
FAC_1653,2025-09-29,CLI_0273,Accesorios,25649,1,Tienda Física,25649
FAC_1697,2025-12-24,CLI_0067,Forros_Asiento,175307,2,WhatsApp,350614
FAC_2130,2026-06-12,CLI_0111,Tapetes,98283,1,WhatsApp,98283
FAC_2054,2025-09-14,CLI_0229,Forros_Asiento,84904,1,Web,84904
FAC_1870,2026-02-25,CLI_0137,Forros_Asiento,137571,1,Tienda Física,137571
FAC_1945,2025-08-02,CLI_0062,Tapetes,84925,1,Web,84925
FAC_1457,2025-11-03,CLI_0300,Tapetes,70810,1,Tienda Física,70810
FAC_1336,2025-12-21,CLI_0020,Cubre_Volantes,40906,2,Tienda Física,81812
FAC_1021,2026-02-13,CLI_0293,Forros_Asiento,127135,2,Tienda Física,254270
FAC_1273,2026-05-17,CLI_0178,Forros_Asiento,48968,1,Tienda Física,48968
FAC_1141,2026-07-14,CLI_0168,Tapetes,73098,1,WhatsApp,73098
FAC_1387,2025-12-28,CLI_0038,Forros_Asiento,166594,2,Tienda Física,333188
FAC_2039,2025-11-06,CLI_0229,Cubre_Volantes,47606,1,Tienda Física,47606
FAC_1846,2026-05-03,CLI_0296,Forros_Asiento,145946,2,Tienda Física,291892
FAC_1233,2026-03-29,CLI_0023,Accesorios,25625,2,Tienda Física,51250
FAC_1453,2025-10-07,CLI_0104,Tapetes,74710,1,Tienda Física,74710
FAC_1229,2026-06-19,CLI_0179,Tapetes,69127,1,Tienda Física,69127
FAC_1869,2026-02-14,CLI_0231,Forros_Asiento,157640,2,Tienda Física,315280
FAC_2180,2025-11-28,CLI_0289,Cubre_Volantes,48726,2,Tienda Física,97452
FAC_1529,2026-05-31,CLI_0118,Tapetes,89071,1,WhatsApp,89071
FAC_1168,2026-07-30,CLI_0261,Forros_Asiento,169304,1,Tienda Física,169304
FAC_1782,2025-10-11,CLI_0282,Forros_Asiento,96308,3,Tienda Física,288924
FAC_1859,2026-05-23,CLI_0218,Forros_Asiento,123319,2,Tienda Física,246638
FAC_1433,2025-09-07,CLI_0127,Tapetes,89088,1,Tienda Física,89088
FAC_1986,2025-08-25,CLI_0029,Tapetes,73597,3,Tienda Física,220791
FAC_1976,2026-07-17,CLI_0182,Accesorios,23431,1,WhatsApp,23431
FAC_1232,2025-08-04,CLI_0149,Forros_Asiento,134180,1,Tienda Física,134180
FAC_1609,2026-03-23,CLI_0210,Forros_Asiento,162347,1,Tienda Física,162347
FAC_1074,2025-08-25,CLI_0251,Cubre_Volantes,43004,1,Tienda Física,43004
FAC_1660,2026-07-04,CLI_0161,Forros_Asiento,109546,1,Tienda Física,109546
FAC_2099,2025-11-23,CLI_0084,Forros_Asiento,76353,1,Tienda Física,76353
FAC_1696,2026-04-12,CLI_0049,Tapetes,85933,2,Tienda Física,171866
FAC_2013,2026-07-24,CLI_0211,Forros_Asiento,129559,1,Tienda Física,129559
FAC_1464,2026-05-26,CLI_0144,Tapetes,72813,2,Tienda Física,145626
FAC_1749,2025-12-06,CLI_0194,Forros_Asiento,146175,2,Tienda Física,292350
FAC_1982,2026-02-11,CLI_0132,Tapetes,98529,1,Tienda Física,98529
FAC_1974,2025-11-04,CLI_0162,Forros_Asiento,24625,1,Tienda Física,24625
FAC_1761,2025-11-16,CLI_0008,Forros_Asiento,157279,1,Tienda Física,157279
FAC_1036,2026-06-08,CLI_0054,Forros_Asiento,160825,1,Tienda Física,160825
FAC_2044,2026-02-18,CLI_0264,Forros_Asiento,86217,2,Tienda Física,172434
FAC_1141,2025-09-15,CLI_0165,Forros_Asiento,160664,1,Tienda Física,160664
FAC_1550,2026-03-25,CLI_0263,Tapetes,79870,1,WhatsApp,79870
FAC_1504,2025-12-07,CLI_0197,Accesorios,28418,2,Tienda Física,56836
FAC_1769,2025-09-05,CLI_0020,Forros_Asiento,169736,1,WhatsApp,169736
FAC_2000,2026-01-11,CLI_0280,Tapetes,67303,2,Tienda Física,134606
FAC_1130,2026-02-26,CLI_0224,Tapetes,84830,1,Tienda Física,84830
FAC_1599,2025-11-15,CLI_0237,Forros_Asiento,154617,1,Tienda Física,154617
FAC_2063,2026-05-24,CLI_0154,Forros_Asiento,134989,2,Tienda Física,269978
FAC_1414,2025-11-09,CLI_0017,Forros_Asiento,125556,1,Tienda Física,125556
FAC_2115,2026-06-10,CLI_0027,Tapetes,80228,1,Web,80228
FAC_1024,2026-01-30,CLI_0130,Tapetes,81441,2,Tienda Física,162882
FAC_1647,2025-08-06,CLI_0282,Accesorios,25466,1,Tienda Física,25466
FAC_1404,2026-01-04,CLI_0187,Accesorios,27061,1,Tienda Física,27061
FAC_1827,2026-02-05,CLI_0246,Tapetes,102691,1,Tienda Física,102691
FAC_1195,2026-04-07,CLI_0073,Tapetes,23799,3,Tienda Física,71397
FAC_1330,2025-12-11,CLI_0042,Accesorios,29937,1,Tienda Física,29937
FAC_1837,2026-04-12,CLI_0017,Forros_Asiento,145383,1,Web,145383
FAC_1466,2026-06-27,CLI_0216,Tapetes,86510,1,WhatsApp,86510
FAC_2023,2026-06-06,CLI_0198,Tapetes,91840,2,Web,183680
FAC_1839,2026-07-21,CLI_0026,Cubre_Volantes,51096,2,Tienda Física,102192
FAC_1256,2026-03-26,CLI_0270,Accesorios,27046,1,Tienda Física,27046
FAC_1117,2025-09-09,CLI_0215,Accesorios,24518,1,WhatsApp,24518
FAC_1687,2026-01-01,CLI_0103,Accesorios,24832,1,Tienda Física,24832
FAC_1826,2026-02-16,CLI_0039,Tapetes,67319,1,Tienda Física,67319
FAC_1799,2026-04-19,CLI_0210,Tapetes,79470,2,Tienda Física,158940
FAC_1452,2026-03-30,CLI_0096,Forros_Asiento,151234,2,WhatsApp,302468
FAC_2042,2026-05-24,CLI_0245,Cubre_Volantes,50504,1,Tienda Física,50504
FAC_1457,2026-01-18,CLI_0065,Tapetes,79239,1,Tienda Física,79239
FAC_1849,2025-09-07,CLI_0146,Forros_Asiento,129833,1,Tienda Física,129833
FAC_1731,2026-01-30,CLI_0140,Forros_Asiento,120994,1,Web,120994
FAC_1141,2025-11-05,CLI_0295,Forros_Asiento,26407,1,WhatsApp,26407
FAC_1888,2025-10-07,CLI_0153,Cubre_Volantes,55393,1,WhatsApp,55393
FAC_1798,2026-03-16,CLI_0243,Forros_Asiento,167072,1,Tienda Física,167072
FAC_1314,2026-06-14,CLI_0241,Forros_Asiento,142236,1,Web,142236
FAC_2126,2025-12-29,CLI_0089,Accesorios,30589,1,Tienda Física,30589
FAC_1636,2026-05-18,CLI_0137,Tapetes,79791,1,Tienda Física,79791
FAC_1011,2025-10-26,CLI_0025,Accesorios,24827,1,Tienda Física,24827
FAC_1863,2026-03-03,CLI_0251,Forros_Asiento,123771,1,WhatsApp,123771
FAC_1682,2025-11-06,CLI_0081,Tapetes,80600,1,Tienda Física,80600
FAC_1423,2026-04-24,CLI_0056,Accesorios,27268,1,WhatsApp,27268
FAC_1686,2026-05-15,CLI_0216,Tapetes,88480,2,WhatsApp,176960
FAC_2025,2025-08-26,CLI_0181,Tapetes,91974,1,WhatsApp,91974
FAC_1910,2026-05-30,CLI_0235,Tapetes,79481,1,Web,79481
FAC_1466,2026-02-07,CLI_0295,Accesorios,25071,2,Tienda Física,50142
FAC_1528,2026-06-04,CLI_0223,Forros_Asiento,159788,1,Tienda Física,159788
FAC_2121,2026-03-21,CLI_0037,Accesorios,22036,1,Tienda Física,22036
FAC_1927,2025-11-11,CLI_0219,Cubre_Volantes,42991,1,Tienda Física,42991
FAC_1347,2026-07-25,CLI_0022,Accesorios,24415,2,WhatsApp,48830
FAC_1340,2026-07-21,CLI_0007,Forros_Asiento,155506,1,Tienda Física,155506
FAC_1301,2025-12-18,CLI_0058,Accesorios,27841,1,Tienda Física,27841
FAC_2129,2026-05-06,CLI_0099,Forros_Asiento,160174,1,Tienda Física,160174
FAC_1130,2026-03-30,CLI_0236,Tapetes,74117,2,Tienda Física,148234
FAC_1171,2025-08-30,CLI_0058,Accesorios,20383,1,WhatsApp,20383
FAC_2041,2025-10-13,CLI_0271,Forros_Asiento,131226,2,Tienda Física,262452
FAC_1502,2026-06-07,CLI_0181,Accesorios,26149,1,Web,26149
FAC_1464,2025-12-11,CLI_0166,Forros_Asiento,139854,2,Tienda Física,279708
FAC_1178,2026-05-02,CLI_0072,Forros_Asiento,130103,2,Tienda Física,260206
FAC_1503,2026-03-07,CLI_0095,Tapetes,81155,1,WhatsApp,81155
FAC_1822,2026-05-13,CLI_0179,Tapetes,87192,1,Tienda Física,87192
FAC_1937,2026-03-08,CLI_0148,Forros_Asiento,186030,1,Tienda Física,186030
FAC_1771,2026-07-13,CLI_0077,Accesorios,27557,1,Tienda Física,27557
FAC_2099,2025-09-21,CLI_0123,Accesorios,25254,1,Tienda Física,25254
FAC_1862,2025-08-11,CLI_0204,Cubre_Volantes,45268,1,WhatsApp,45268
FAC_1893,2025-08-30,CLI_0251,Accesorios,23551,2,Tienda Física,47102
FAC_1617,2026-04-13,CLI_0022,Tapetes,103325,2,Tienda Física,206650
FAC_1597,2025-11-22,CLI_0012,Tapetes,99755,1,Tienda Física,99755
FAC_2134,2025-10-27,CLI_0055,Forros_Asiento,145194,1,Tienda Física,145194
FAC_1822,2025-10-24,CLI_0288,Accesorios,24534,2,Tienda Física,49068
FAC_2052,2025-12-18,CLI_0024,Tapetes,88393,2,Tienda Física,176786
FAC_1323,2025-11-19,CLI_0117,Forros_Asiento,126572,3,Tienda Física,379716
FAC_1532,2025-10-26,CLI_0295,Forros_Asiento,96194,1,Tienda Física,96194
FAC_1860,2026-03-03,CLI_0225,Tapetes,97550,2,Tienda Física,195100
FAC_1970,2026-02-06,CLI_0041,Accesorios,25809,1,Tienda Física,25809
FAC_1291,2026-05-18,CLI_0084,Accesorios,26929,1,Tienda Física,26929
FAC_1235,2026-03-23,CLI_0066,Tapetes,155614,1,WhatsApp,155614
FAC_1940,2026-05-06,CLI_0164,Forros_Asiento,175751,2,Web,351502
FAC_1871,2026-05-15,CLI_0266,Tapetes,85652,1,WhatsApp,85652
FAC_1755,2026-08-01,CLI_0001,Tapetes,182846,1,Tienda Física,182846
FAC_1495,2025-10-06,CLI_0175,Forros_Asiento,171068,1,WhatsApp,171068
FAC_1897,2026-02-12,CLI_0156,Tapetes,88246,1,WhatsApp,88246
FAC_1786,2025-09-26,CLI_0130,Tapetes,80610,1,Tienda Física,80610
FAC_1954,2025-12-23,CLI_0035,Tapetes,152237,1,Tienda Física,152237
FAC_1978,2026-07-09,CLI_0206,Cubre_Volantes,45353,1,WhatsApp,45353
FAC_2070,2026-06-22,CLI_0126,Forros_Asiento,179575,1,Web,179575
FAC_2056,2026-04-14,CLI_0178,Forros_Asiento,83864,2,Tienda Física,167728
FAC_1394,2026-01-18,CLI_0129,Forros_Asiento,78772,1,WhatsApp,78772
FAC_1348,2026-03-02,CLI_0136,Tapetes,105429,1,WhatsApp,105429
FAC_1375,2025-09-06,CLI_0289,Accesorios,25495,1,WhatsApp,25495
FAC_2018,2025-09-28,CLI_0161,Forros_Asiento,125797,2,Tienda Física,251594
FAC_1472,2026-03-12,CLI_0098,Accesorios,25851,2,Tienda Física,51702
FAC_1345,2026-02-19,CLI_0082,Forros_Asiento,165703,1,WhatsApp,165703
FAC_1243,2025-12-04,CLI_0089,Tapetes,145206,2,Tienda Física,290412
FAC_1922,2026-02-27,CLI_0093,Tapetes,94958,3,Tienda Física,284874
FAC_2141,2026-04-29,CLI_0267,Forros_Asiento,130602,1,WhatsApp,130602
FAC_2064,2025-12-11,CLI_0003,Tapetes,79150,3,Tienda Física,237450
FAC_1883,2026-04-06,CLI_0300,Cubre_Volantes,45403,1,Tienda Física,45403
FAC_2007,2025-11-28,CLI_0021,Forros_Asiento,174365,1,Tienda Física,174365
FAC_1125,2026-05-21,CLI_0281,Forros_Asiento,161383,1,WhatsApp,161383
FAC_1538,2026-01-28,CLI_0027,Tapetes,77600,1,Web,77600
FAC_1830,2026-07-19,CLI_0158,Tapetes,77954,1,WhatsApp,77954
FAC_1871,2026-02-19,CLI_0263,Forros_Asiento,135262,1,WhatsApp,135262
FAC_1631,2026-02-23,CLI_0241,Forros_Asiento,177699,1,Tienda Física,177699
FAC_1857,2026-05-04,CLI_0263,Forros_Asiento,149705,1,WhatsApp,149705
FAC_2020,2025-08-17,CLI_0141,Forros_Asiento,134973,1,WhatsApp,134973
FAC_1356,2026-03-22,CLI_0009,Accesorios,24290,1,WhatsApp,24290
FAC_1583,2025-10-10,CLI_0152,Forros_Asiento,161096,1,Tienda Física,161096
FAC_1320,2026-03-07,CLI_0019,Forros_Asiento,139223,2,WhatsApp,278446
FAC_1102,2025-11-11,CLI_0242,Forros_Asiento,89986,2,Tienda Física,179972
FAC_2006,2025-10-07,CLI_0149,Forros_Asiento,148796,2,Tienda Física,297592
FAC_2110,2026-02-01,CLI_0160,Forros_Asiento,168368,2,WhatsApp,336736
FAC_1315,2025-10-22,CLI_0258,Forros_Asiento,141793,1,Tienda Física,141793
FAC_1015,2025-12-04,CLI_0125,Tapetes,79748,3,WhatsApp,239244
FAC_1887,2026-02-28,CLI_0042,Tapetes,87572,1,Web,87572
FAC_2077,2025-11-07,CLI_0196,Forros_Asiento,140260,1,Tienda Física,140260
FAC_1542,2026-05-23,CLI_0058,Accesorios,26156,3,Tienda Física,78468
FAC_1988,2026-07-31,CLI_0286,Tapetes,99216,1,Tienda Física,99216
FAC_2164,2026-07-05,CLI_0208,Tapetes,96145,2,Tienda Física,192290
FAC_1518,2025-12-28,CLI_0279,Tapetes,65147,1,Tienda Física,65147
FAC_2190,2026-07-23,CLI_0149,Forros_Asiento,168196,1,Tienda Física,168196
FAC_2051,2026-03-19,CLI_0272,Forros_Asiento,156377,1,Tienda Física,156377
FAC_1313,2025-10-21,CLI_0258,Forros_Asiento,139769,1,Web,139769
FAC_1433,2026-04-27,CLI_0154,Tapetes,77791,1,WhatsApp,77791
FAC_1544,2025-08-21,CLI_0101,Tapetes,84948,2,Tienda Física,169896
FAC_1605,2025-10-11,CLI_0291,Tapetes,92534,1,WhatsApp,92534
FAC_1368,2025-11-01,CLI_0007,Tapetes,79023,1,Tienda Física,79023
FAC_1295,2025-10-30,CLI_0130,Forros_Asiento,132181,1,Tienda Física,132181
FAC_1612,2026-07-31,CLI_0281,Cubre_Volantes,48205,1,Tienda Física,48205
FAC_1452,2026-05-29,CLI_0238,Forros_Asiento,134648,1,Tienda Física,134648
FAC_2174,2025-08-22,CLI_0117,Tapetes,75946,1,Tienda Física,75946
FAC_2112,2026-04-10,CLI_0173,Tapetes,71559,1,Tienda Física,71559
FAC_1300,2025-09-19,CLI_0254,Forros_Asiento,131854,1,WhatsApp,131854
FAC_1444,2026-03-25,CLI_0266,Forros_Asiento,167159,1,Tienda Física,167159
FAC_1239,2025-08-09,CLI_0083,Tapetes,90490,2,Tienda Física,180980
FAC_1377,2025-11-28,CLI_0263,Forros_Asiento,139363,2,WhatsApp,278726
FAC_1206,2026-03-07,CLI_0231,Forros_Asiento,157359,1,WhatsApp,157359
FAC_1468,2026-07-09,CLI_0007,Accesorios,29286,1,Tienda Física,29286
FAC_1577,2026-02-27,CLI_0133,Tapetes,81547,1,Tienda Física,81547
FAC_1497,2026-06-16,CLI_0079,Tapetes,81671,1,Tienda Física,81671
FAC_1318,2026-06-06,CLI_0013,Tapetes,88889,1,Tienda Física,88889
FAC_1815,2025-08-20,CLI_0188,Forros_Asiento,149770,1,WhatsApp,149770
FAC_2091,2026-06-24,CLI_0196,Tapetes,79161,1,WhatsApp,79161
FAC_2161,2025-10-13,CLI_0221,Forros_Asiento,166373,1,Tienda Física,166373
FAC_1853,2025-11-19,CLI_0105,Tapetes,87421,1,Tienda Física,87421
FAC_1505,2025-12-04,CLI_0242,Tapetes,83318,1,Tienda Física,83318
FAC_1256,2026-04-01,CLI_0290,Cubre_Volantes,54707,1,Tienda Física,54707
FAC_1754,2025-09-06,CLI_0173,Tapetes,88114,1,Tienda Física,88114
FAC_1958,2026-01-10,CLI_0200,Accesorios,30033,1,Tienda Física,30033
FAC_1218,2026-06-07,CLI_0228,Accesorios,22993,2,Tienda Física,45986
FAC_1797,2025-12-27,CLI_0261,Forros_Asiento,22382,1,Tienda Física,22382
FAC_1209,2026-02-11,CLI_0111,Accesorios,24685,1,Tienda Física,24685
FAC_1493,2026-02-22,CLI_0266,Forros_Asiento,164432,1,WhatsApp,164432
FAC_1678,2026-03-11,CLI_0010,Tapetes,75874,1,Tienda Física,75874
FAC_2125,2026-03-02,CLI_0124,Cubre_Volantes,42323,1,Tienda Física,42323
FAC_2028,2025-12-12,CLI_0172,Forros_Asiento,154725,1,Tienda Física,154725
FAC_1129,2026-05-24,CLI_0032,Accesorios,21648,2,Tienda Física,43296
FAC_1978,2025-09-03,CLI_0149,Accesorios,25755,1,WhatsApp,25755
FAC_1786,2025-09-15,CLI_0135,Tapetes,89173,2,Tienda Física,178346
FAC_1015,2026-04-17,CLI_0022,Forros_Asiento,166871,1,Tienda Física,166871
FAC_1439,2026-01-11,CLI_0283,Accesorios,25806,1,Web,25806
FAC_1362,2025-11-06,CLI_0278,Tapetes,81394,1,Tienda Física,81394
FAC_1035,2025-08-08,CLI_0019,Tapetes,68857,1,Tienda Física,68857
FAC_1138,2026-03-12,CLI_0229,Forros_Asiento,165029,1,Tienda Física,165029
FAC_1869,2026-05-15,CLI_0010,Tapetes,83223,1,WhatsApp,83223
FAC_1668,2026-02-22,CLI_0112,Accesorios,28861,2,WhatsApp,57722
FAC_2079,2026-02-19,CLI_0243,Forros_Asiento,72676,1,WhatsApp,72676
FAC_1352,2026-06-04,CLI_0111,Tapetes,75894,1,Tienda Física,75894
FAC_1654,2026-03-10,CLI_0293,Accesorios,25561,2,WhatsApp,51122
FAC_1024,2026-05-01,CLI_0020,Forros_Asiento,144090,1,Tienda Física,144090
FAC_1542,2025-11-15,CLI_0162,Tapetes,102522,2,Tienda Física,205044
FAC_2018,2025-12-25,CLI_0152,Tapetes,76565,1,Tienda Física,76565
FAC_1781,2026-05-10,CLI_0192,Accesorios,27369,2,Tienda Física,54738
FAC_1432,2025-11-24,CLI_0146,Forros_Asiento,155417,1,Tienda Física,155417
FAC_1508,2026-05-12,CLI_0198,Tapetes,95378,1,Web,95378
FAC_1390,2026-06-03,CLI_0138,Accesorios,25759,1,Tienda Física,25759
FAC_1762,2025-09-04,CLI_0051,Forros_Asiento,152113,1,Web,152113
FAC_2021,2026-03-04,CLI_0049,Forros_Asiento,165494,1,Tienda Física,165494
